t=1, n=34, r=0, m=1, rp=0 ---------> 2.79224e-05
t=0, n=35, r=0, m=1, rp=0 ---------> -4.80346e-05
t=1, n=35, r=0, m=1, rp=0 ---------> -3.92504e-05
t=0, n=36, r=0, m=1, rp=0 ---------> -0.000101736
t=1, n=36, r=0, m=1, rp=0 ---------> -0.000166271
t=0, n=37, r=0, m=1, rp=0 ---------> -0.000161264
t=1, n=37, r=0, m=1, rp=0 ---------> -0.00013605
t=0, n=38, r=0, m=1, rp=0 ---------> -0.000151591
t=1, n=38, r=0, m=1, rp=0 ---------> -0.00025236
t=0, n=39, r=0, m=1, rp=0 ---------> -0.000175534
t=1, n=39, r=0, m=1, rp=0 ---------> -9.66992e-05
t=0, n=40, r=0, m=1, rp=0 ---------> -0.000135062
t=1, n=40, r=0, m=1, rp=0 ---------> -9.96802e-05
t=0, n=41, r=0, m=1, rp=0 ---------> -2.54468e-05
t=1, n=41, r=0, m=1, rp=0 ---------> -0.000296037
t=0, n=42, r=0, m=1, rp=0 ---------> -0.000171029
t=1, n=42, r=0, m=1, rp=0 ---------> -0.000205094
t=0, n=43, r=0, m=1, rp=0 ---------> -0.000170112
t=1, n=43, r=0, m=1, rp=0 ---------> -0.000135739
t=0, n=44, r=0, m=1, rp=0 ---------> 1.56965e-05
t=1, n=44, r=0, m=1, rp=0 ---------> 2.8858e-05
t=0, n=0, r=1, m=1, rp=0 ---------> 0.00228148
t=1, n=0, r=1, m=1, rp=0 ---------> 0.00150236
t=0, n=1, r=1, m=1, rp=0 ---------> 0.00242049
t=1, n=1, r=1, m=1, rp=0 ---------> 0.000229245
t=0, n=2, r=1, m=1, rp=0 ---------> 0.00318254
t=1, n=2, r=1, m=1, rp=0 ---------> 0.000373618
t=0, n=3, r=1, m=1, rp=0 ---------> 0.00213554
t=1, n=3, r=1, m=1, rp=0 ---------> 0.000801444
t=0, n=4, r=1, m=1, rp=0 ---------> 0.00123052
t=1, n=4, r=1, m=1, rp=0 ---------> 0.00106511
t=0, n=5, r=1, m=1, rp=0 ---------> 0.000910836
t=1, n=5, r=1, m=1, rp=0 ---------> 0.000186258
t=0, n=6, r=1, m=1, rp=0 ---------> 0.00233196
t=1, n=6, r=1, m=1, rp=0 ---------> 0.00134364
t=0, n=7, r=1, m=1, rp=0 ---------> 0.00152312
t=1, n=7, r=1, m=1, rp=0 ---------> 0.000924254
t=0, n=8, r=1, m=1, rp=0 ---------> 0.00197688
t=1, n=8, r=1, m=1, rp=0 ---------> 0.000322507
t=0, n=9, r=1, m=1, rp=0 ---------> 0.00467362
t=1, n=9, r=1, m=1, rp=0 ---------> 0.00121978
t=0, n=10, r=1, m=1, rp=0 ---------> 0.000642594
t=1, n=10, r=1, m=1, rp=0 ---------> 0.000366542
t=0, n=11, r=1, m=1, rp=0 ---------> 0.000950168
t=1, n=11, r=1, m=1, rp=0 ---------> 0.000126431
t=0, n=12, r=1, m=1, rp=0 ---------> 0.000117896
t=1, n=12, r=1, m=1, rp=0 ---------> 0.00055066
t=0, n=13, r=1, m=1, rp=0 ---------> 0.00246699
t=1, n=13, r=1, m=1, rp=0 ---------> 0.000713572
t=0, n=14, r=1, m=1, rp=0 ---------> 0.00282985
t=1, n=14, r=1, m=1, rp=0 ---------> 0.000440565
t=0, n=15, r=1, m=1, rp=0 ---------> 0.00210274
t=1, n=15, r=1, m=1, rp=0 ---------> 0.000783809
t=0, n=16, r=1, m=1, rp=0 ---------> 0.000130325
t=1, n=16, r=1, m=1, rp=0 ---------> 5.14598e-05
t=0, n=17, r=1, m=1, rp=0 ---------> 0.00147357
t=1, n=17, r=1, m=1, rp=0 ---------> -0.00029998
t=0, n=18, r=1, m=1, rp=0 ---------> -7.25302e-05
t=1, n=18, r=1, m=1, rp=0 ---------> 0.000727717
t=0, n=19, r=1, m=1, rp=0 ---------> 0.00058132
t=1, n=19, r=1, m=1, rp=0 ---------> 0.000803935
t=0, n=20, r=1, m=1, rp=0 ---------> 0.000801261
t=1, n=20, r=1, m=1, rp=0 ---------> 0.0004477
t=0, n=21, r=1, m=1, rp=0 ---------> -0.000210442
t=1, n=21, r=1, m=1, rp=0 ---------> -0.000402479
t=0, n=22, r=1, m=1, rp=0 ---------> 0.00209375
t=1, n=22, r=1, m=1, rp=0 ---------> 0.00133262
t=0, n=23, r=1, m=1, rp=0 ---------> 0.000646735
t=1, n=23, r=1, m=1, rp=0 ---------> 0.000211634
t=0, n=24, r=1, m=1, rp=0 ---------> 0.00194587
t=1, n=24, r=1, m=1, rp=0 ---------> 0.00152602
t=0, n=25, r=1, m=1, rp=0 ---------> 0.00218782
t=1, n=25, r=1, m=1, rp=0 ---------> 0.000915778
t=0, n=26, r=1, m=1, rp=0 ---------> 0.000668425
t=1, n=26, r=1, m=1, rp=0 ---------> -0.000205124
t=0, n=27, r=1, m=1, rp=0 ---------> 0.00152083
t=1, n=27, r=1, m=1, rp=0 ---------> 0.000649563
t=0, n=28, r=1, m=1, rp=0 ---------> 0.000904701
t=1, n=28, r=1, m=1, rp=0 ---------> 0.00118993
t=0, n=29, r=1, m=1, rp=0 ---------> 0.000573841
t=1, n=29, r=1, m=1, rp=0 ---------> 0.000504162
t=0, n=30, r=1, m=1, rp=0 ---------> 0.00278829
t=1, n=30, r=1, m=1, rp=0 ---------> 0.000939914
t=0, n=31, r=1, m=1, rp=0 ---------> 0.00172822
t=1, n=31, r=1, m=1, rp=0 ---------> 0.00121292
t=0, n=32, r=1, m=1, rp=0 ---------> 0.00295738
t=1, n=32, r=1, m=1, rp=0 ---------> 0.00126245
t=0, n=33, r=1, m=1, rp=0 ---------> 0.000972112
t=1, n=33, r=1, m=1, rp=0 ---------> -0.000293035
t=0, n=34, r=1, m=1, rp=0 ---------> 0.00167789
t=1, n=34, r=1, m=1, rp=0 ---------> 0.000632795
t=0, n=35, r=1, m=1, rp=0 ---------> 0.00129784
t=1, n=35, r=1, m=1, rp=0 ---------> 0.000281074
t=0, n=36, r=1, m=1, rp=0 ---------> 0.00108032
t=1, n=36, r=1, m=1, rp=0 ---------> 0.000957696
t=0, n=37, r=1, m=1, rp=0 ---------> 0.00252735
t=1, n=37, r=1, m=1, rp=0 ---------> 8.38165e-05
t=0, n=38, r=1, m=1, rp=0 ---------> 0.00220461
t=1, n=38, r=1, m=1, rp=0 ---------> 0.00105897
t=0, n=39, r=1, m=1, rp=0 ---------> 0.0030963
t=1, n=39, r=1, m=1, rp=0 ---------> 0.000497679
t=0, n=40, r=1, m=1, rp=0 ---------> 0.0021793
t=1, n=40, r=1, m=1, rp=0 ---------> 0.000862742
t=0, n=41, r=1, m=1, rp=0 ---------> -0.000184312
t=1, n=41, r=1, m=1, rp=0 ---------> 0.00122673
t=0, n=42, r=1, m=1, rp=0 ---------> 0.000799365
t=1, n=42, r=1, m=1, rp=0 ---------> 0.00053266
t=0, n=43, r=1, m=1, rp=0 ---------> 0.000683432
t=1, n=43, r=1, m=1, rp=0 ---------> 0.000542522
t=0, n=44, r=1, m=1, rp=0 ---------> -0.00750522
t=1, n=44, r=1, m=1, rp=0 ---------> -0.0023061
t=0, n=0, r=2, m=1, rp=0 ---------> 0.000297745
t=1, n=0, r=2, m=1, rp=0 ---------> 0.000222216
t=0, n=1, r=2, m=1, rp=0 ---------> -0.000139556
t=1, n=1, r=2, m=1, rp=0 ---------> 9.25786e-05
t=0, n=2, r=2, m=1, rp=0 ---------> -0.000123428
t=1, n=2, r=2, m=1, rp=0 ---------> 0.00017725
t=0, n=3, r=2, m=1, rp=0 ---------> -0.000122619
t=1, n=3, r=2, m=1, rp=0 ---------> 0.000210561
t=0, n=4, r=2, m=1, rp=0 ---------> 0.000173383
t=1, n=4, r=2, m=1, rp=0 ---------> 0.000138745
t=0, n=5, r=2, m=1, rp=0 ---------> 7.00722e-05
t=1, n=5, r=2, m=1, rp=0 ---------> 0.000166978
t=0, n=6, r=2, m=1, rp=0 ---------> 3.40824e-05
t=1, n=6, r=2, m=1, rp=0 ---------> 0.000130777
t=0, n=7, r=2, m=1, rp=0 ---------> 2.29971e-05
t=1, n=7, r=2, m=1, rp=0 ---------> 9.02619e-05
t=0, n=8, r=2, m=1, rp=0 ---------> -0.00016426
t=1, n=8, r=2, m=1, rp=0 ---------> 0.00026816
t=0, n=9, r=2, m=1, rp=0 ---------> 4.07954e-05
t=1, n=9, r=2, m=1, rp=0 ---------> 0.000147101
t=0, n=10, r=2, m=1, rp=0 ---------> -2.89921e-06
t=1, n=10, r=2, m=1, rp=0 ---------> 9.06319e-05
t=0, n=11, r=2, m=1, rp=0 ---------> 0.000147589
t=1, n=11, r=2, m=1, rp=0 ---------> 0.000115204
t=0, n=12, r=2, m=1, rp=0 ---------> -4.00515e-06
t=1, n=12, r=2, m=1, rp=0 ---------> 0.00012641
t=0, n=13, r=2, m=1, rp=0 ---------> -8.8399e-05
t=1, n=13, r=2, m=1, rp=0 ---------> 0.000120156
t=0, n=14, r=2, m=1, rp=0 ---------> 6.87502e-06
t=1, n=14, r=2, m=1, rp=0 ---------> 0.000154584
t=0, n=15, r=2, m=1, rp=0 ---------> 0.000159246
t=1, n=15, r=2, m=1, rp=0 ---------> 0.000205921
t=0, n=16, r=2, m=1, rp=0 ---------> -1.29112e-05
t=1, n=16, r=2, m=1, rp=0 ---------> 0.000118861
t=0, n=17, r=2, m=1, rp=0 ---------> -0.000105967
t=1, n=17, r=2, m=1, rp=0 ---------> 0.000120418
t=0, n=18, r=2, m=1, rp=0 ---------> 0.000203185
t=1, n=18, r=2, m=1, rp=0 ---------> 0.000129658
t=0, n=19, r=2, m=1, rp=0 ---------> 0.000313602
t=1, n=19, r=2, m=1, rp=0 ---------> 1.05579e-05
t=0, n=20, r=2, m=1, rp=0 ---------> 6.55442e-05
t=1, n=20, r=2, m=1, rp=0 ---------> 0.00014763
t=0, n=21, r=2, m=1, rp=0 ---------> 6.04759e-05
t=1, n=21, r=2, m=1, rp=0 ---------> 0.00013245
t=0, n=22, r=2, m=1, rp=0 ---------> 0.000250649
t=1, n=22, r=2, m=1, rp=0 ---------> 0.000197569
t=0, n=23, r=2, m=1, rp=0 ---------> -0.000188446
t=1, n=23, r=2, m=1, rp=0 ---------> 0.000192905
t=0, n=24, r=2, m=1, rp=0 ---------> 0.000240646
t=1, n=24, r=2, m=1, rp=0 ---------> 0.000299083
t=0, n=25, r=2, m=1, rp=0 ---------> -4.19938e-05
t=1, n=25, r=2, m=1, rp=0 ---------> 0.000222646
t=0, n=26, r=2, m=1, rp=0 ---------> 4.40828e-05
t=1, n=26, r=2, m=1, rp=0 ---------> 8.68847e-05
t=0, n=27, r=2, m=1, rp=0 ---------> -7.19752e-05
t=1, n=27, r=2, m=1, rp=0 ---------> 0.000213325
t=0, n=28, r=2, m=1, rp=0 ---------> 0.000162921
t=1, n=28, r=2, m=1, rp=0 ---------> 0.000189862
t=0, n=29, r=2, m=1, rp=0 ---------> 3.55225e-05
t=1, n=29, r=2, m=1, rp=0 ---------> 0.000230499
t=0, n=30, r=2, m=1, rp=0 ---------> 0.000208129
t=1, n=30, r=2, m=1, rp=0 ---------> 0.000167158
t=0, n=31, r=2, m=1, rp=0 ---------> 0.000289388
t=1, n=31, r=2, m=1, rp=0 ---------> 3.22671e-05
t=0, n=32, r=2, m=1, rp=0 ---------> 0.000306282
t=1, n=32, r=2, m=1, rp=0 ---------> 0.000172523
t=0, n=33, r=2, m=1, rp=0 ---------> -5.39885e-05
t=1, n=33, r=2, m=1, rp=0 ---------> 2.6437e-05
t=0, n=34, r=2, m=1, rp=0 ---------> 0.000123664
t=1, n=34, r=2, m=1, rp=0 ---------> 7.07232e-05
t=0, n=35, r=2, m=1, rp=0 ---------> -4.46506e-05
t=1, n=35, r=2, m=1, rp=0 ---------> 8.99143e-05
t=0, n=36, r=2, m=1, rp=0 ---------> 0.00020585
t=1, n=36, r=2, m=1, rp=0 ---------> 5.26649e-05
t=0, n=37, r=2, m=1, rp=0 ---------> 9.97076e-05
t=1, n=37, r=2, m=1, rp=0 ---------> 0.000135767
t=0, n=38, r=2, m=1, rp=0 ---------> 0.000131862
t=1, n=38, r=2, m=1, rp=0 ---------> 7.35163e-05
t=0, n=39, r=2, m=1, rp=0 ---------> 9.12228e-05
t=1, n=39, r=2, m=1, rp=0 ---------> 0.000194749
t=0, n=40, r=2, m=1, rp=0 ---------> 0.000103576
t=1, n=40, r=2, m=1, rp=0 ---------> 0.000117621
t=0, n=41, r=2, m=1, rp=0 ---------> 1.96353e-05
t=1, n=41, r=2, m=1, rp=0 ---------> 0.000124093
t=0, n=42, r=2, m=1, rp=0 ---------> 5.00462e-05
t=1, n=42, r=2, m=1, rp=0 ---------> 0.000140781
t=0, n=43, r=2, m=1, rp=0 ---------> 9.76473e-05
t=1, n=43, r=2, m=1, rp=0 ---------> 8.52789e-06
t=0, n=44, r=2, m=1, rp=0 ---------> 1.56965e-05
t=1, n=44, r=2, m=1, rp=0 ---------> 2.8858e-05
t=0, n=0, r=3, m=1, rp=0 ---------> 0.000717572
t=1, n=0, r=3, m=1, rp=0 ---------> 0.00172061
t=0, n=1, r=3, m=1, rp=0 ---------> -0.000871845
t=1, n=1, r=3, m=1, rp=0 ---------> 0.00109161
t=0, n=2, r=3, m=1, rp=0 ---------> -0.000326674
t=1, n=2, r=3, m=1, rp=0 ---------> 0.000420421
t=0, n=3, r=3, m=1, rp=0 ---------> -0.000621737
t=1, n=3, r=3, m=1, rp=0 ---------> 0.0011093
t=0, n=4, r=3, m=1, rp=0 ---------> -2.83669e-05
t=1, n=4, r=3, m=1, rp=0 ---------> 0.00189635
t=0, n=5, r=3, m=1, rp=0 ---------> -0.000607537
t=1, n=5, r=3, m=1, rp=0 ---------> 0.00167917
t=0, n=6, r=3, m=1, rp=0 ---------> -0.000236285
t=1, n=6, r=3, m=1, rp=0 ---------> 0.000656613
t=0, n=7, r=3, m=1, rp=0 ---------> 0.000163197
t=1, n=7, r=3, m=1, rp=0 ---------> 0.000789342
t=0, n=8, r=3, m=1, rp=0 ---------> -0.000300669
t=1, n=8, r=3, m=1, rp=0 ---------> 0.000839417
t=0, n=9, r=3, m=1, rp=0 ---------> 0.000158329
t=1, n=9, r=3, m=1, rp=0 ---------> 0.000715645
t=0, n=10, r=3, m=1, rp=0 ---------> -0.000557507
t=1, n=10, r=3, m=1, rp=0 ---------> 0.000509095
t=0, n=11, r=3, m=1, rp=0 ---------> -4.81145e-06
t=1, n=11, r=3, m=1, rp=0 ---------> 0.00188286
t=0, n=12, r=3, m=1, rp=0 ---------> -0.000336041
t=1, n=12, r=3, m=1, rp=0 ---------> 0.000781836
t=0, n=13, r=3, m=1, rp=0 ---------> -0.000164746
t=1, n=13, r=3, m=1, rp=0 ---------> 0.00023113
t=0, n=14, r=3, m=1, rp=0 ---------> 0.000135593
t=1, n=14, r=3, m=1, rp=0 ---------> 0.00097637
t=0, n=15, r=3, m=1, rp=0 ---------> 4.99175e-05
t=1, n=15, r=3, m=1, rp=0 ---------> 0.00131168
t=0, n=16, r=3, m=1, rp=0 ---------> -0.000659273
t=1, n=16, r=3, m=1, rp=0 ---------> 0.000717678
t=0, n=17, r=3, m=1, rp=0 ---------> -0.000917651
t=1, n=17, r=3, m=1, rp=0 ---------> 0.00141817
t=0, n=18, r=3, m=1, rp=0 ---------> -0.000117017
t=1, n=18, r=3, m=1, rp=0 ---------> 0.00123724
t=0, n=19, r=3, m=1, rp=0 ---------> 0.00097172
t=1, n=19, r=3, m=1, rp=0 ---------> 0.000687272
t=0, n=20, r=3, m=1, rp=0 ---------> -7.03288e-05
t=1, n=20, r=3, m=1, rp=0 ---------> 0.00108962
t=0, n=21, r=3, m=1, rp=0 ---------> -0.000397705
t=1, n=21, r=3, m=1, rp=0 ---------> 0.000793819
t=0, n=22, r=3, m=1, rp=0 ---------> 0.000368365
t=1, n=22, r=3, m=1, rp=0 ---------> 0.00252232
t=0, n=23, r=3, m=1, rp=0 ---------> -0.00052277
t=1, n=23, r=3, m=1, rp=0 ---------> 0.000804555
t=0, n=24, r=3, m=1, rp=0 ---------> -0.000231209
t=1, n=24, r=3, m=1, rp=0 ---------> 0.00199635
t=0, n=25, r=3, m=1, rp=0 ---------> -0.000138573
t=1, n=25, r=3, m=1, rp=0 ---------> 0.00108662
t=0, n=26, r=3, m=1, rp=0 ---------> -5.73245e-05
t=1, n=26, r=3, m=1, rp=0 ---------> 0.00156003
t=0, n=27, r=3, m=1, rp=0 ---------> 0.000307179
t=1, n=27, r=3, m=1, rp=0 ---------> 0.000327211
t=0, n=28, r=3, m=1, rp=0 ---------> -0.000315566
t=1, n=28, r=3, m=1, rp=0 ---------> 0.000900699
t=0, n=29, r=3, m=1, rp=0 ---------> -0.000173311
t=1, n=29, r=3, m=1, rp=0 ---------> 0.00134722
t=0, n=30, r=3, m=1, rp=0 ---------> -0.000271684
t=1, n=30, r=3, m=1, rp=0 ---------> 0.000747219
t=0, n=31, r=3, m=1, rp=0 ---------> 0.000510992
t=1, n=31, r=3, m=1, rp=0 ---------> 0.00131767
t=0, n=32, r=3, m=1, rp=0 ---------> 0.000799705
t=1, n=32, r=3, m=1, rp=0 ---------> 0.000941552
t=0, n=33, r=3, m=1, rp=0 ---------> -0.000420296
t=1, n=33, r=3, m=1, rp=0 ---------> 0.000392763
t=0, n=34, r=3, m=1, rp=0 ---------> -0.000265536
t=1, n=34, r=3, m=1, rp=0 ---------> 0.00196011
t=0, n=35, r=3, m=1, rp=0 ---------> 6.32873e-05
t=1, n=35, r=3, m=1, rp=0 ---------> 0.000393078
t=0, n=36, r=3, m=1, rp=0 ---------> 0.000541315
t=1, n=36, r=3, m=1, rp=0 ---------> 0.000918545
t=0, n=37, r=3, m=1, rp=0 ---------> 0.000213634
t=1, n=37, r=3, m=1, rp=0 ---------> 0.00133269
t=0, n=38, r=3, m=1, rp=0 ---------> 0.000111597
t=1, n=38, r=3, m=1, rp=0 ---------> 0.00123713
t=0, n=39, r=3, m=1, rp=0 ---------> 0.000224635
t=1, n=39, r=3, m=1, rp=0 ---------> 0.000843133
t=0, n=40, r=3, m=1, rp=0 ---------> 0.000381096
t=1, n=40, r=3, m=1, rp=0 ---------> 0.000276645
t=0, n=41, r=3, m=1, rp=0 ---------> -8.57068e-05
t=1, n=41, r=3, m=1, rp=0 ---------> 0.00076945
t=0, n=42, r=3, m=1, rp=0 ---------> -0.000238494
t=1, n=42, r=3, m=1, rp=0 ---------> 0.0016601
t=0, n=43, r=3, m=1, rp=0 ---------> 9.08761e-06
t=1, n=43, r=3, m=1, rp=0 ---------> 0.000913707
t=0, n=44, r=3, m=1, rp=0 ---------> -0.00135711
t=1, n=44, r=3, m=1, rp=0 ---------> -0.00125767
t=0, n=0, r=0, m=2, rp=0 ---------> 0.000127594
t=1, n=0, r=0, m=2, rp=0 ---------> -0.000209632
t=0, n=1, r=0, m=2, rp=0 ---------> 4.07811e-05
t=1, n=1, r=0, m=2, rp=0 ---------> -0.000127731
t=0, n=2, r=0, m=2, rp=0 ---------> 4.01622e-05
t=1, n=2, r=0, m=2, rp=0 ---------> -9.42566e-05
t=0, n=3, r=0, m=2, rp=0 ---------> 0.000128865
t=1, n=3, r=0, m=2, rp=0 ---------> -0.000269882
t=0, n=4, r=0, m=2, rp=0 ---------> 7.90108e-05
t=1, n=4, r=0, m=2, rp=0 ---------> -7.00625e-05
t=0, n=5, r=0, m=2, rp=0 ---------> 0.000255944
t=1, n=5, r=0, m=2, rp=0 ---------> -0.000218509
t=0, n=6, r=0, m=2, rp=0 ---------> 8.49515e-05
t=1, n=6, r=0, m=2, rp=0 ---------> -0.000178454
t=0, n=7, r=0, m=2, rp=0 ---------> 6.99743e-05
t=1, n=7, r=0, m=2, rp=0 ---------> -0.000139855
t=0, n=8, r=0, m=2, rp=0 ---------> 7.23388e-05
t=1, n=8, r=0, m=2, rp=0 ---------> -0.000266982
t=0, n=9, r=0, m=2, rp=0 ---------> 9.34094e-05
t=1, n=9, r=0, m=2, rp=0 ---------> -0.000118693
t=0, n=10, r=0, m=2, rp=0 ---------> 0.00011812
t=1, n=10, r=0, m=2, rp=0 ---------> -0.000112876
t=0, n=11, r=0, m=2, rp=0 ---------> 0.00014713
t=1, n=11, r=0, m=2, rp=0 ---------> -0.000138122
t=0, n=12, r=0, m=2, rp=0 ---------> 3.30415e-05
t=1, n=12, r=0, m=2, rp=0 ---------> -0.00014136
t=0, n=13, r=0, m=2, rp=0 ---------> -2.75516e-05
t=1, n=13, r=0, m=2, rp=0 ---------> -0.000133929
t=0, n=14, r=0, m=2, rp=0 ---------> 0.000140919
t=1, n=14, r=0, m=2, rp=0 ---------> -3.69574e-05
t=0, n=15, r=0, m=2, rp=0 ---------> 0.000125179
t=1, n=15, r=0, m=2, rp=0 ---------> -0.000123079
t=0, n=16, r=0, m=2, rp=0 ---------> 0.000149945
t=1, n=16, r=0, m=2, rp=0 ---------> -0.000189651
t=0, n=17, r=0, m=2, rp=0 ---------> 2.06808e-05
t=1, n=17, r=0, m=2, rp=0 ---------> -0.00014253
t=0, n=18, r=0, m=2, rp=0 ---------> 5.52627e-05
t=1, n=18, r=0, m=2, rp=0 ---------> -0.000109897
t=0, n=19, r=0, m=2, rp=0 ---------> 4.17893e-05
t=1, n=19, r=0, m=2, rp=0 ---------> 5.97602e-05
t=0, n=20, r=0, m=2, rp=0 ---------> 0.000142066
t=1, n=20, r=0, m=2, rp=0 ---------> -0.000151592
t=0, n=21, r=0, m=2, rp=0 ---------> 8.95417e-05
t=1, n=21, r=0, m=2, rp=0 ---------> -8.38439e-05
t=0, n=22, r=0, m=2, rp=0 ---------> 0.000255899
t=1, n=22, r=0, m=2, rp=0 ---------> -0.000217299
t=0, n=23, r=0, m=2, rp=0 ---------> 8.64479e-05
t=1, n=23, r=0, m=2, rp=0 ---------> -0.000176988
t=0, n=24, r=0, m=2, rp=0 ---------> 0.000212468
t=1, n=24, r=0, m=2, rp=0 ---------> -0.00024118
t=0, n=25, r=0, m=2, rp=0 ---------> 0.000142875
t=1, n=25, r=0, m=2, rp=0 ---------> -0.000260026
t=0, n=26, r=0, m=2, rp=0 ---------> 0.000168017
t=1, n=26, r=0, m=2, rp=0 ---------> -0.000159415
t=0, n=27, r=0, m=2, rp=0 ---------> -4.09948e-05
t=1, n=27, r=0, m=2, rp=0 ---------> -0.000146426
t=0, n=28, r=0, m=2, rp=0 ---------> 0.000126075
t=1, n=28, r=0, m=2, rp=0 ---------> -0.000231902
t=0, n=29, r=0, m=2, rp=0 ---------> 8.74715e-05
t=1, n=29, r=0, m=2, rp=0 ---------> -9.34737e-05
t=0, n=30, r=0, m=2, rp=0 ---------> 7.30664e-05
t=1, n=30, r=0, m=2, rp=0 ---------> -6.05038e-05
t=0, n=31, r=0, m=2, rp=0 ---------> 0.000177602
t=1, n=31, r=0, m=2, rp=0 ---------> 7.86717e-05
t=0, n=32, r=0, m=2, rp=0 ---------> 6.39636e-05
t=1, n=32, r=0, m=2, rp=0 ---------> -1.47086e-05
t=0, n=33, r=0, m=2, rp=0 ---------> 4.04533e-05
t=1, n=33, r=0, m=2, rp=0 ---------> -4.48374e-06
t=0, n=34, r=0, m=2, rp=0 ---------> 2.08272e-05
t=1, n=34, r=0, m=2, rp=0 ---------> -8.39304e-05
t=0, n=35, r=0, m=2, rp=0 ---------> 2.19216e-05
t=1, n=35, r=0, m=2, rp=0 ---------> -9.14923e-05
t=0, n=36, r=0, m=2, rp=0 ---------> 4.78002e-05
t=1, n=36, r=0, m=2, rp=0 ---------> -3.64666e-05
t=0, n=37, r=0, m=2, rp=0 ---------> 0.00021946
t=1, n=37, r=0, m=2, rp=0 ---------> -9.88601e-05
t=0, n=38, r=0, m=2, rp=0 ---------> 5.07119e-05
t=1, n=38, r=0, m=2, rp=0 ---------> -8.95086e-05
t=0, n=39, r=0, m=2, rp=0 ---------> -4.76116e-05
t=1, n=39, r=0, m=2, rp=0 ---------> -2.38001e-05
t=0, n=40, r=0, m=2, rp=0 ---------> -3.54374e-06
t=1, n=40, r=0, m=2, rp=0 ---------> -4.80831e-05
t=0, n=41, r=0, m=2, rp=0 ---------> 0.000114845
t=1, n=41, r=0, m=2, rp=0 ---------> -0.000194797
t=0, n=42, r=0, m=2, rp=0 ---------> 0.000154185
t=1, n=42, r=0, m=2, rp=0 ---------> -0.000177089
t=0, n=43, r=0, m=2, rp=0 ---------> 0.00010683
t=1, n=43, r=0, m=2, rp=0 ---------> -7.93985e-05
t=0, n=44, r=0, m=2, rp=0 ---------> -8.41916e-07
t=1, n=44, r=0, m=2, rp=0 ---------> -1.62497e-05
t=0, n=0, r=1, m=2, rp=0 ---------> -0.00243994
t=1, n=0, r=1, m=2, rp=0 ---------> -0.00153921
t=0, n=1, r=1, m=2, rp=0 ---------> 0.000372572
t=1, n=1, r=1, m=2, rp=0 ---------> -6.66037e-05
t=0, n=2, r=1, m=2, rp=0 ---------> 0.000218047
t=1, n=2, r=1, m=2, rp=0 ---------> -0.00035245
t=0, n=3, r=1, m=2, rp=0 ---------> -0.00138879
t=1, n=3, r=1, m=2, rp=0 ---------> -0.000854502
t=0, n=4, r=1, m=2, rp=0 ---------> -0.00090055
t=1, n=4, r=1, m=2, rp=0 ---------> 6.87642e-06
t=0, n=5, r=1, m=2, rp=0 ---------> -0.00143622
t=1, n=5, r=1, m=2, rp=0 ---------> -0.00108358
t=0, n=6, r=1, m=2, rp=0 ---------> -0.00150312
t=1, n=6, r=1, m=2, rp=0 ---------> -0.000795743
t=0, n=7, r=1, m=2, rp=0 ---------> -0.000889619
t=1, n=7, r=1, m=2, rp=0 ---------> -0.000201361
t=0, n=8, r=1, m=2, rp=0 ---------> -0.00149706
t=1, n=8, r=1, m=2, rp=0 ---------> -0.00135471
t=0, n=9, r=1, m=2, rp=0 ---------> -0.00104672
t=1, n=9, r=1, m=2, rp=0 ---------> -0.00111755
t=0, n=10, r=1, m=2, rp=0 ---------> -0.000804018
t=1, n=10, r=1, m=2, rp=0 ---------> -0.000498047
t=0, n=11, r=1, m=2, rp=0 ---------> -0.00102879
t=1, n=11, r=1, m=2, rp=0 ---------> -0.000762704
t=0, n=12, r=1, m=2, rp=0 ---------> -0.000728055
t=1, n=12, r=1, m=2, rp=0 ---------> -0.000470119
t=0, n=13, r=1, m=2, rp=0 ---------> -0.000921789
t=1, n=13, r=1, m=2, rp=0 ---------> -0.000630555
t=0, n=14, r=1, m=2, rp=0 ---------> -0.00115338
t=1, n=14, r=1, m=2, rp=0 ---------> -0.000997797
t=0, n=15, r=1, m=2, rp=0 ---------> -0.0012333
t=1, n=15, r=1, m=2, rp=0 ---------> -0.000420912
t=0, n=16, r=1, m=2, rp=0 ---------> -0.00076976
t=1, n=16, r=1, m=2, rp=0 ---------> -0.000671887
t=0, n=17, r=1, m=2, rp=0 ---------> 0.000422448
t=1, n=17, r=1, m=2, rp=0 ---------> -0.000479814
t=0, n=18, r=1, m=2, rp=0 ---------> -0.000371268
t=1, n=18, r=1, m=2, rp=0 ---------> -0.000214365
t=0, n=19, r=1, m=2, rp=0 ---------> -0.000932822
t=1, n=19, r=1, m=2, rp=0 ---------> -0.000122354
t=0, n=20, r=1, m=2, rp=0 ---------> -0.0015061
t=1, n=20, r=1, m=2, rp=0 ---------> -0.000789817
t=0, n=21, r=1, m=2, rp=0 ---------> -0.00118796
t=1, n=21, r=1, m=2, rp=0 ---------> -0.000667917
t=0, n=22, r=1, m=2, rp=0 ---------> -0.00278376
t=1, n=22, r=1, m=2, rp=0 ---------> -0.0011467
t=0, n=23, r=1, m=2, rp=0 ---------> -0.000846405
t=1, n=23, r=1, m=2, rp=0 ---------> -0.000674847
t=0, n=24, r=1, m=2, rp=0 ---------> -0.00254062
t=1, n=24, r=1, m=2, rp=0 ---------> -0.00119508
